time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
66.89997700,0.01502203,0.00832562,0.00000382,114536.00000000,0.01645078,0.000000,0.000000
66.99982500,0.01502810,0.00822328,0.00000369,113826.00000000,0.01609042,0.000000,0.000000
67.09967158,0.01503184,0.00733176,0.00000367,114516.00000000,0.01568944,0.000000,0.000000
67.19951394,0.01502945,0.00800659,0.00000290,115176.00000000,0.01460663,0.000000,0.000000
67.29936202,0.01502243,0.00725647,0.00000326,115749.00000000,0.01377224,0.000000,0.000000
67.39998892,0.01502150,0.00741484,0.00000402,116261.00000000,0.01485487,0.000000,0.000000
67.49981948,0.01501091,0.00547306,0.00000463,116360.00000000,0.01310579,0.000000,0.000000
67.59965602,0.01499459,0.00519191,0.00000391,116954.00000000,0.01204060,0.000000,0.000000
67.69948414,0.01501964,0.01069231,0.00000458,117469.00000000,0.01957918,0.000000,0.000000
67.79932496,0.01501718,0.00686124,0.00000436,117896.00000000,0.01456549,0.000000,0.000000
67.89996426,0.01499770,0.00519073,0.00000353,118333.00000000,0.01141422,0.000000,0.000000
67.99980406,0.01498490,0.00679226,0.00000336,118769.00000000,0.01261641,0.000000,0.000000
68.09962368,0.01496556,0.00597349,0.00000302,119066.00000000,0.01136918,0.000000,0.000000
68.19946924,0.01495025,0.00613472,0.00000345,119470.00000000,0.01208620,0.000000,0.000000
68.29930684,0.01493626,0.00725667,0.00000298,119794.00000000,0.01230756,0.000000,0.000000
68.39994114,0.01492456,0.00573631,0.00000427,120192.00000000,0.01271176,0.000000,0.000000
68.49977862,0.01491202,0.00740349,0.00000309,120599.00000000,0.01253004,0.000000,0.000000
68.59962120,0.01489505,0.00548008,0.00000373,120811.00000000,0.01165367,0.000000,0.000000
68.69946372,0.01488919,0.00757369,0.00000374,121161.00000000,0.01376500,0.000000,0.000000
68.79930766,0.01487366,0.00515147,0.00000366,121436.00000000,0.01187560,0.000000,0.000000
68.89995004,0.01486172,0.00572112,0.00000375,121822.00000000,0.01254529,0.000000,0.000000
68.99979030,0.01485054,0.00603821,0.00000381,122206.00000000,0.01267041,0.000000,0.000000
69.09963354,0.01483948,0.00627865,0.00000359,122710.00000000,0.01267270,0.000000,0.000000
69.19947086,0.01482981,0.00632537,0.00000362,123207.00000000,0.01292305,0.000000,0.000000
69.29930250,0.01482017,0.00678215,0.00000369,123911.00000000,0.01291331,0.000000,0.000000
69.39993146,0.01482115,0.00880598,0.00000335,123922.00000000,0.01501532,0.000000,0.000000
69.49976380,0.01481842,0.00759311,0.00000340,123867.00000000,0.01427339,0.000000,0.000000
69.59960158,0.01481325,0.00660196,0.00000389,124618.00000000,0.01377346,0.000000,0.000000
69.69943418,0.01481620,0.00828120,0.00000372,125206.00000000,0.01541089,0.000000,0.000000
69.79967682,0.01480925,0.00705193,0.00000333,125728.00000000,0.01339998,0.000000,0.000000
69.89953248,0.01480148,0.00719873,0.00000339,126362.00000000,0.01321633,0.000000,0.000000
69.99937700,0.01479410,0.00647719,0.00000382,126837.00000000,0.01328150,0.000000,0.000000
70.09960508,0.01478037,0.00558507,0.00000393,127156.00000000,0.01195091,0.000000,0.000000
70.19944716,0.01476210,0.00482265,0.00000398,126908.00000000,0.01097983,0.000000,0.000000
70.29930418,0.01474589,0.00470992,0.00000455,127335.00000000,0.01137497,0.000000,0.000000
70.39994856,0.01472885,0.00514968,0.00000411,127583.00000000,0.01116753,0.000000,0.000000
70.49980056,0.01471018,0.00520012,0.00000397,127834.00000000,0.01078939,0.000000,0.000000
70.59963776,0.01469076,0.00535831,0.00000404,128027.00000000,0.01059350,0.000000,0.000000
70.69946122,0.01467077,0.00519003,0.00000415,128161.00000000,0.01043198,0.000000,0.000000
70.79931448,0.01463888,0.00415827,0.00000295,128325.00000000,0.00784637,0.000000,0.000000
70.89997016,0.01461770,0.00560135,0.00000313,128632.00000000,0.01008535,0.000000,0.000000
70.99979960,0.01459308,0.00447639,0.00000340,128969.00000000,0.00929988,0.000000,0.000000
71.09964642,0.01458015,0.00602094,0.00000397,129392.00000000,0.01178657,0.000000,0.000000
71.19948516,0.01456667,0.00558126,0.00000399,129939.00000000,0.01164282,0.000000,0.000000
71.29933192,0.01456396,0.00708236,0.00000342,128788.00000000,0.01397308,0.000000,0.000000
71.39997816,0.01455536,0.00736060,0.00000315,129473.00000000,0.01267231,0.000000,0.000000
71.49981856,0.01455075,0.00752023,0.00000329,130195.00000000,0.01353612,0.000000,0.000000
71.59965646,0.01455020,0.00884085,0.00000299,131046.00000000,0.01442740,0.000000,0.000000
71.69950008,0.01455947,0.01093679,0.00000276,131794.00000000,0.01661773,0.000000,0.000000
71.79934486,0.01458815,0.00922797,0.00000436,132794.00000000,0.02098400,0.000000,0.000000
71.89998832,0.01459258,0.00778969,0.00000378,133840.00000000,0.01558583,0.000000,0.000000
71.99983528,0.01460565,0.00992252,0.00000322,135135.00000000,0.01754571,0.000000,0.000000
72.09967678,0.01464128,0.01462091,0.00000348,136134.00000000,0.02269433,0.000000,0.000000
72.19949700,0.01465020,0.00803837,0.00000337,137719.00000000,0.01667491,0.000000,0.000000
72.29933832,0.01466335,0.00891372,0.00000343,140078.00000000,0.01766215,0.000000,0.000000
72.39998640,0.01468018,0.00859996,0.00000380,142665.00000000,0.01853394,0.000000,0.000000
72.49981288,0.01474150,0.01717131,0.00000406,145483.00000000,0.02884497,0.000000,0.000000
72.59965062,0.01476303,0.01082034,0.00000306,139984.00000000,0.01973578,0.000000,0.000000
72.69948972,0.01478175,0.01056830,0.00000301,141952.00000000,0.01912371,0.000000,0.000000
72.79933052,0.01481100,0.01042178,0.00000374,143850.00000000,0.02162786,0.000000,0.000000
72.89999176,0.01483440,0.01157366,0.00000311,145503.00000000,0.02030994,0.000000,0.000000
72.99981330,0.01485572,0.01085543,0.00000304,146919.00000000,0.01986428,0.000000,0.000000
73.09964564,0.01488895,0.01220770,0.00000321,148440.00000000,0.02273265,0.000000,0.000000
73.19949118,0.01494604,0.01855353,0.00000321,149601.00000000,0.02847515,0.000000,0.000000
73.29931984,0.01496778,0.01014870,0.00000348,151576.00000000,0.02014214,0.000000,0.000000
73.39995952,0.01499346,0.01036292,0.00000343,153564.00000000,0.02113069,0.000000,0.000000
73.49979796,0.01502747,0.01168915,0.00000376,155599.00000000,0.02319059,0.000000,0.000000
73.59964080,0.01504641,0.01073414,0.00000313,152195.00000000,0.01961128,0.000000,0.000000
73.69948864,0.01506513,0.00952385,0.00000309,153395.00000000,0.01959420,0.000000,0.000000
73.79932636,0.01507650,0.00987641,0.00000293,154551.00000000,0.01784051,0.000000,0.000000
